"","year","area","street","street2","html"
"1",2011,"birmingham","AcocksGreen","acocks green","One & Two"
"2",2011,"birmingham","AdderlyStreet","adderly street","Some ñ ndash"
"3",2011,"birmingham","AlcesterRaodMosley"," alcester raod, mosley","Ä300"
"4",2011,"birmingham","alcesterroad","alcester road","alcester†road"
"5",2011,"birmingham","alcesterroadmoseley","alcester road moseley","""That silly man"""
"6",2011,"birmingham","AlcesterRoadMoseley","alcester road moseley","<html>"
"7",2011,"birmingham","AlfredStreet","alfred street","One & Two"
"8",2011,"birmingham","AllserviceclubMosley"," all service club, mosley","Some ñ ndash"
"9",2011,"birmingham","AlumRockRoad","alum rock road","Ä300"
"10",2011,"birmingham","AlumRockRoad","alum rock road","alcester†road"
"11",2011,"birmingham","AlumRockRoad","alum rock road","""That silly man"""
"12",2011,"birmingham","AlumRockRoad","alum rock road","<html>"
"13",2011,"birmingham","arcadiancentre","arcadian centre","One & Two"
"14",2011,"birmingham","ArdenRoadSaltley"," arden road, saltley","Some ñ ndash"
"15",2011,"birmingham","AsdaChemsleyWood"," asda, chemsley wood","Ä300"
"16",2011,"birmingham","BalsahllHeathParkJWBrightonroad"," balsahll heath park, j/w brighton road","alcester†road"
"17",2011,"birmingham","BamfordRoad","bamford road","""That silly man"""
"18",2011,"birmingham","BamfordRoad","bamford road","<html>"
"19",2011,"birmingham","BeechBrookAvenueSparkhill","beechbrook avenue sparkhill","One & Two"
"20",2011,"birmingham","BelchersLane","belchers lane","Some ñ ndash"
"21",2011,"birmingham","BelchersLane","belchers lane","Ä300"
"22",2011,"birmingham","BelchersLane","belchers lane","alcester†road"
"23",2011,"birmingham","BelchersLaneBordesleyGreen"," belchers lane, bordesley green","""That silly man"""
"24",2011,"birmingham","BellStreet","bell street","<html>"
"25",2011,"birmingham","BerkleyRdEastHaymills"," berkley rd east ,  haymills.","One & Two"
"26",2011,"birmingham","birminghamairport","birmingham airport","Some ñ ndash"
"27",2011,"birmingham","BirminghamInternationalrailwaystation","birmingham international railway station","Ä300"
"28",2011,"birmingham","BordesleyGreen","bordesley green","alcester†road"
"29",2011,"birmingham","BordesleyGreenBordesleyGreen"," bordesley green ,  bordesley green.","""That silly man"""
"30",2011,"birmingham","BristolRoad","bristol road","<html>"
"31",2011,"birmingham","BristolStreet","bristol street","One & Two"
"32",2011,"birmingham","BroadStreet","broad street","Some ñ ndash"
"33",2011,"birmingham","BroadStreet","broad street","Ä300"
"34",2011,"birmingham","BroadStreetBirmingham","broad street birmingham","alcester†road"
"35",2011,"birmingham","BucklandEndLaneShardEnd","buckland end lane shard end","""That silly man"""
"36",2011,"birmingham","BullsHeadPHStMarysRow"," bulls head ph, st marys row","<html>"
